week,Aeropuertos y vuelos,Ley y crimen,La pandemia del COVID-19 y su impacto,La industria petrolera,Economía,Tren Maya,Salud y medicina,Reformas políticas,Fronteras e inmigración,Energía y minería,COVID-19 y su vacunación,Problemas sociales y justicia penal,Deportes y turismo,Relaciones políticas entre México y Perú
2018-12-03,0.028691135,0.015210899,0.015709843,0.14539829,0.27618992,0.032176454,0.017540518,0.1970064,0.010322289,0.026353922,0.1389228,0.044396613,0.03334327,0.018737663
2018-12-10,0.52571577,0.041976534,0.02396521,0.09624585,0.03049181,0.014789987,0.009364725,0.036886595,0.005133545,0.053384546,0.10116242,0.039851837,0.020649482,0.0003816968
2018-12-24,0.025931297,0.011382086,0.01763837,0.5789707,0.033274893,0.032946188,0.0101125315,0.07140364,0.008078056,0.011284477,0.07605957,0.06245969,0.031380054,0.029078515
2018-12-31,0.017002357,0.021353696,0.031590603,0.18279754,0.08995093,0.03874012,0.015976034,0.078147486,0.015552974,0.01637104,0.11678094,0.3297403,0.031035898,0.01496013
2019-01-07,0.030685605,0.021269957,0.020566145,0.57479745,0.060564842,0.027769608,0.015156177,0.061348356,0.01420601,0.02333561,0.06318048,0.04234992,0.023753924,0.021015905
2019-01-14,0.03795684,0.012540826,0.031839497,0.58931196,0.046833526,0.02451656,0.018338235,0.06858971,0.012473351,0.029753434,0.045468196,0.043791413,0.024312945,0.0142735
2019-01-21,0.028709013,0.024777291,0.052441113,0.48473668,0.04466954,0.033281494,0.020177908,0.059588194,0.022736376,0.03736492,0.07062578,0.076870106,0.028457858,0.015563724
2019-01-28,0.023068849,0.021776482,0.08401706,0.3963707,0.051192924,0.035715677,0.014403675,0.09809359,0.021070218,0.039075896,0.0832697,0.06595,0.039131474,0.026863733
2019-02-04,0.033444114,0.013584017,0.23298725,0.10393089,0.0891072,0.046819903,0.04474771,0.10503719,0.021121753,0.05170432,0.085677326,0.06372395,0.087099075,0.021015313
2019-02-11,0.022409817,0.012296438,0.044590913,0.16618039,0.07999003,0.051356353,0.035752065,0.07670998,0.021571934,0.27834317,0.06682265,0.06604183,0.05154963,0.02638478
2019-02-18,0.021492489,0.029602906,0.0463693,0.15549625,0.058022395,0.06599385,0.03636141,0.08547168,0.017918158,0.05202973,0.07546887,0.27031827,0.06914785,0.016306872
2019-02-25,0.037581243,0.019133708,0.06946042,0.07619238,0.31969488,0.03621148,0.025585271,0.11289715,0.038666967,0.029453063,0.09579902,0.05072202,0.048737448,0.03986494
2019-03-04,0.033115584,0.025625141,0.26840234,0.10493325,0.081835136,0.036252532,0.015519215,0.09407222,0.0162438,0.04788064,0.17601983,0.027486894,0.0552954,0.017318057
2019-03-11,0.043912284,0.026353175,0.028495874,0.16061075,0.066734456,0.054850504,0.03589601,0.29239637,0.021536456,0.012651866,0.10282839,0.05420537,0.068959355,0.030569097
2019-03-18,0.032046314,0.016425436,0.060049094,0.29298556,0.08298272,0.02754993,0.02527791,0.13726832,0.021546936,0.041060455,0.12779386,0.04620628,0.050211802,0.03859542
2019-03-25,0.022132484,0.02331923,0.04382092,0.14564231,0.079839796,0.050507456,0.023711786,0.103978336,0.049418323,0.032253586,0.1064171,0.07240989,0.03883127,0.20771755
2019-04-01,0.031120148,0.02078005,0.06010314,0.10701268,0.085050106,0.043340154,0.034221277,0.09740828,0.030184058,0.039686803,0.12783201,0.025896493,0.283376,0.0139887715
2019-04-08,0.03015415,0.019900111,0.05810895,0.16296224,0.09940172,0.028962528,0.036309708,0.09267324,0.019996956,0.046217356,0.10357296,0.06435323,0.04383586,0.19355097
2019-04-15,0.037253607,0.021174755,0.040214315,0.15393578,0.050155006,0.023920504,0.033322025,0.081851326,0.02398311,0.03931222,0.073907845,0.37262523,0.036198266,0.01214601
2019-04-22,0.050649744,0.02090412,0.0600304,0.19020152,0.07813517,0.03219932,0.027680086,0.0914832,0.062055197,0.023090005,0.088881046,0.057760805,0.20125704,0.015672313
2019-04-29,0.033537712,0.023714375,0.05495251,0.12167973,0.08990556,0.044683356,0.02282694,0.2956107,0.01954647,0.030412197,0.1302381,0.04196862,0.0708464,0.020077365
2019-05-06,0.026769672,0.025964204,0.051706854,0.38586947,0.06760837,0.036450148,0.020508576,0.13569619,0.03085723,0.02486398,0.087183185,0.041824833,0.03987141,0.024825864
2019-05-13,0.033319395,0.030102666,0.07052225,0.1480881,0.06736887,0.046739172,0.04099242,0.106876664,0.017405177,0.024510697,0.110618845,0.22557671,0.06448428,0.013394735
2019-05-20,0.02518291,0.020835755,0.07081884,0.117110476,0.07977224,0.041800816,0.054415464,0.09166067,0.039576404,0.036127493,0.2949708,0.04404432,0.057134625,0.026549196
2019-05-27,0.041557238,0.033874497,0.069155365,0.11987941,0.09253669,0.040659484,0.06662218,0.121503994,0.05599064,0.02930477,0.24302241,0.026451472,0.04204516,0.017396713
2019-06-03,0.022913076,0.037733655,0.26167032,0.092157654,0.06724989,0.031483885,0.03225857,0.08829256,0.10542586,0.04232857,0.12636738,0.04636124,0.031888906,0.013868465
2019-06-10,0.02603973,0.022566775,0.04675977,0.047540776,0.08263163,0.023655007,0.011253685,0.07358154,0.46464533,0.0103654945,0.08191677,0.03524401,0.04284797,0.030951556
2019-06-17,0.026638439,0.031181492,0.07750927,0.067511566,0.06586528,0.03821996,0.034710195,0.11805797,0.21710818,0.030153919,0.13371754,0.037673578,0.08289547,0.038757134
2019-06-24,0.032484215,0.03343915,0.04486205,0.12838976,0.06596055,0.06673819,0.031190623,0.10897933,0.06624219,0.029032608,0.118566975,0.052687358,0.19914106,0.022285938
2019-07-01,0.026882757,0.33319438,0.03895197,0.10886912,0.037220772,0.026098128,0.021020582,0.081531465,0.058447175,0.033899795,0.12524614,0.03938272,0.033697575,0.035557453
2019-07-08,0.024940975,0.029399965,0.3726608,0.04134416,0.07554135,0.038847808,0.021251844,0.18473911,0.024297712,0.019805826,0.08030245,0.031166174,0.03466503,0.021036822
2019-07-15,0.01774264,0.027253382,0.27191722,0.101405144,0.09547403,0.04421944,0.030926041,0.09909161,0.037677374,0.02695561,0.115293,0.038802624,0.06821349,0.025028381
2019-07-22,0.03474194,0.025337067,0.06858211,0.14182146,0.06453824,0.028046025,0.029162502,0.10213354,0.0757191,0.060493406,0.1196515,0.04017634,0.06944872,0.14014809
2019-07-29,0.027214758,0.029359302,0.070459746,0.11727624,0.055967655,0.054803997,0.01965221,0.14586562,0.05175957,0.03221235,0.08589345,0.04774024,0.22927889,0.032515984
2019-08-05,0.02338523,0.028856635,0.07360145,0.0947613,0.043648124,0.0297067,0.026783785,0.06586604,0.04081385,0.026164016,0.06252462,0.41775292,0.057676043,0.008459314
2019-08-12,0.0313098,0.0332014,0.06180123,0.104886666,0.0676372,0.060867805,0.023546098,0.099494055,0.049826037,0.037069574,0.08961528,0.059458297,0.25625515,0.025031442
2019-08-19,0.02752924,0.021914903,0.038292546,0.32098413,0.06913864,0.03189835,0.031172007,0.11836869,0.03173582,0.045157947,0.09765314,0.06292229,0.077704646,0.025527671
2019-08-26,0.031421777,0.024786294,0.06609929,0.10145616,0.091498815,0.047254514,0.025445288,0.098040454,0.03574589,0.040224396,0.083856486,0.2626637,0.06857113,0.022935808
2019-09-02,0.026277907,0.02153233,0.06177931,0.08848035,0.070253894,0.043568775,0.030489411,0.1261719,0.09653063,0.03670258,0.13956697,0.16030319,0.06120308,0.03713967
2019-09-09,0.031707942,0.029971574,0.24739034,0.08213282,0.09419736,0.046478335,0.026279876,0.10895914,0.054215327,0.030469533,0.09940368,0.06660709,0.053496245,0.028690703
2019-09-16,0.037515804,0.019760896,0.071849175,0.112502694,0.061008114,0.07555483,0.0411488,0.122159526,0.014340037,0.019708695,0.32906005,0.030891908,0.043091364,0.021408083
2019-09-23,0.032800168,0.026465664,0.07951066,0.11256378,0.05905499,0.042131018,0.052702025,0.3046299,0.020181578,0.044916123,0.11519856,0.036167577,0.05530789,0.018370112
2019-09-30,0.03195869,0.045944225,0.085457444,0.10010954,0.06551417,0.03713212,0.037022285,0.2921141,0.026794342,0.029876107,0.1251524,0.052535333,0.049640585,0.020748679
2019-10-07,0.04821675,0.026499894,0.07077581,0.10451661,0.09516871,0.033411246,0.027888983,0.122828655,0.03275916,0.011183716,0.29268947,0.02410222,0.09949958,0.0104592
2019-10-14,0.017130887,0.055954378,0.046730995,0.09108085,0.081864744,0.067015044,0.023187753,0.29273248,0.019313067,0.027416151,0.13177077,0.052949294,0.076416716,0.01643685
2019-10-21,0.033261675,0.028637448,0.048114605,0.074847244,0.09088928,0.19017418,0.061360545,0.14130314,0.036263503,0.03073082,0.15128121,0.03912797,0.04723537,0.026773034
2019-10-28,0.032098986,0.040460683,0.040783003,0.09689142,0.07825645,0.24738261,0.032930333,0.13405561,0.026166832,0.026734525,0.10023233,0.046779517,0.072856955,0.024370743
2019-11-11,0.037525762,0.041717116,0.055597827,0.06269333,0.079655476,0.063919194,0.018328786,0.13485749,0.031015888,0.02252713,0.103477605,0.038985953,0.04574398,0.26395443
2019-11-18,0.04661867,0.16579863,0.048992075,0.08381626,0.12426613,0.041475635,0.02365359,0.1472962,0.02469808,0.022580888,0.107645236,0.048684772,0.0644764,0.049997427
2019-11-25,0.026020521,0.037385613,0.060925018,0.07913729,0.31152397,0.030408414,0.019992534,0.13522334,0.044427585,0.041940853,0.08364775,0.04404331,0.058727756,0.026596026
2019-12-02,0.019729238,0.022976141,0.053972777,0.09068576,0.4671421,0.02766468,0.00866054,0.11150097,0.02842007,0.029314784,0.07057638,0.03592372,0.018453056,0.014979786
2019-12-09,0.014959416,0.026277246,0.05174001,0.07878652,0.33414632,0.039507337,0.028873669,0.11761972,0.012771412,0.07159378,0.1270493,0.031820223,0.052192688,0.012662335
2019-12-16,0.015048005,0.03264937,0.06891616,0.071432196,0.092062786,0.08270166,0.03505961,0.14342919,0.031167386,0.052153587,0.26953292,0.04850875,0.03820843,0.019129995
2019-12-23,0.02785775,0.21436639,0.055039655,0.054567665,0.09621243,0.034339346,0.03948623,0.076410025,0.05494738,0.036425885,0.10859156,0.048136484,0.044251475,0.109367736
2019-12-30,0.021091416,0.024912518,0.042392366,0.30224222,0.07822559,0.03184145,0.035102375,0.111631006,0.016396781,0.02745773,0.18507661,0.0595271,0.03422634,0.029876452
2020-01-06,0.01307136,0.12811011,0.0071908007,0.018260749,0.0485921,0.023129417,0.14415704,0.08129069,0.12476304,0.03792736,0.23443155,0.034210782,0.055585194,0.049279787
2020-01-13,0.021672295,0.023807596,0.05560781,0.111523755,0.10097932,0.06178668,0.2533967,0.10325185,0.021831965,0.026227813,0.11601317,0.045119695,0.042743836,0.016037524
2020-01-20,0.020668838,0.030583678,0.057337392,0.08181587,0.056296144,0.05989325,0.3343216,0.09000701,0.027039085,0.018129233,0.1242271,0.05386747,0.029653253,0.016160084
2020-01-27,0.023816992,0.031973388,0.077618025,0.08969472,0.08111166,0.03931333,0.24112032,0.095140435,0.038095895,0.062327333,0.12265411,0.04500992,0.038480558,0.013643318
2020-02-03,0.0065069697,0.0720127,0.04831251,0.16912204,0.038675293,0.007389428,0.0061820187,0.017209977,0.40337822,0.06539616,0.052134003,0.010255502,0.10287368,0.00055150513
2020-02-10,0.017552137,0.04063245,0.058613427,0.07167911,0.09308541,0.032540467,0.073449165,0.1187032,0.050852846,0.03265396,0.12238413,0.036494825,0.06198655,0.18937232
2020-02-17,0.024124058,0.027413636,0.04975338,0.101551875,0.07375227,0.034824997,0.0721569,0.12367548,0.026944483,0.16076423,0.16027528,0.05491275,0.063129164,0.026721478
2020-02-24,0.03024097,0.023725923,0.07514919,0.068164684,0.106859624,0.036467843,0.25166517,0.09728013,0.025784338,0.03183771,0.13814297,0.044786114,0.051834814,0.018060463
2020-03-02,0.027592132,0.025391614,0.17793697,0.0685983,0.16963924,0.038337767,0.12918495,0.091736205,0.017974626,0.019335253,0.13082606,0.03674344,0.04528445,0.021418964
2020-03-09,0.033075426,0.02113508,0.3595351,0.070287555,0.07177688,0.041789707,0.08085444,0.07837151,0.022494256,0.029129937,0.1312983,0.019512944,0.02660312,0.014135719
2020-03-16,0.09572971,0.019853655,0.18170421,0.072532386,0.09011679,0.079775326,0.051710185,0.06564098,0.03574485,0.031724803,0.12576668,0.03427476,0.097336374,0.018089313
2020-03-23,0.0612914,0.025454301,0.10162856,0.096717216,0.09561449,0.052649688,0.045304865,0.11347598,0.1250103,0.026311833,0.15042585,0.051459815,0.034652945,0.020002807
2020-03-30,0.31885165,0.01149008,0.08000964,0.08366365,0.07889468,0.028148273,0.024923993,0.11317734,0.03497706,0.025492104,0.10269668,0.04594479,0.032377657,0.019352425
2020-04-06,0.024763448,0.0033131742,0.10077866,0.16858816,0.08660743,0.0005352374,0.0001331745,0.09007809,0.00012110609,0.01351139,0.096305765,0.0055740504,0.39884847,0.010841835
2020-04-13,0.041497894,0.012948526,0.30915052,0.08718968,0.100053765,0.029515587,0.052795224,0.07880421,0.023185968,0.01654256,0.16569869,0.029610472,0.034988202,0.018018639
2020-04-20,0.05248964,0.017348628,0.07252042,0.08932623,0.24957666,0.043916922,0.035985976,0.115479074,0.028852412,0.027687555,0.16130064,0.037968013,0.04750155,0.020046247
2020-04-27,0.048270486,0.017374234,0.11931154,0.07161011,0.11362587,0.033756632,0.09811697,0.16320664,0.016713437,0.022219835,0.19924131,0.041034468,0.033436008,0.02208249
2020-05-11,0.0375122,0.015053489,0.08126166,0.107656,0.12359133,0.03374339,0.05921085,0.10519218,0.015557384,0.018798282,0.32459474,0.031700198,0.0292649,0.016863428
2020-05-18,0.04866198,0.017726691,0.06698144,0.08889129,0.19155501,0.0590268,0.03265393,0.16205822,0.020508517,0.029346483,0.16959383,0.045570947,0.045407336,0.022017496
2020-05-25,0.046970308,0.020840801,0.076392755,0.10070588,0.1088651,0.058112476,0.05398653,0.08871035,0.022218147,0.034080185,0.29320943,0.041746687,0.04126883,0.012892476
2020-06-01,0.02900662,0.011116192,0.073693156,0.07236063,0.08077016,0.2688064,0.032390095,0.078006,0.016915414,0.031189522,0.2040319,0.03804059,0.049019083,0.014654235
2020-06-08,0.23282926,0.021444011,0.06601642,0.083035596,0.069827855,0.037074886,0.016515164,0.102834,0.016551469,0.04314186,0.21059558,0.050595317,0.03611836,0.013420262
2020-06-15,0.049772814,0.030065501,0.08880682,0.11774044,0.061571393,0.049993433,0.033997733,0.09194972,0.023609724,0.029578876,0.18312818,0.16965196,0.043272935,0.026860515
2020-06-22,0.043780413,0.020005634,0.067728505,0.08055738,0.070210405,0.041881572,0.037007604,0.09262221,0.021097647,0.04985573,0.36892477,0.05752591,0.032957703,0.015844539
2020-06-29,0.035311304,0.022531869,0.06598327,0.09129175,0.14210033,0.036963787,0.117082514,0.11376528,0.028903209,0.07372505,0.18326673,0.0389269,0.030324813,0.019823229
2020-07-06,0.023968259,0.02564175,0.07477641,0.07227592,0.37117594,0.03233052,0.040971804,0.080541864,0.031466212,0.044028893,0.1193582,0.033368222,0.027672479,0.022423485
2020-07-13,0.03399102,0.0254304,0.07212253,0.07760495,0.08522282,0.033418123,0.055683456,0.09252312,0.024539152,0.05010443,0.34044287,0.0661065,0.023415118,0.019395556
2020-07-20,0.035320945,0.06950244,0.078224435,0.079093955,0.1827002,0.05344126,0.04927455,0.09871069,0.021797594,0.02878919,0.18696779,0.057546843,0.043389406,0.015240694
2020-07-27,0.026819546,0.025406538,0.07043763,0.08114123,0.07180059,0.04708488,0.27417034,0.09203354,0.017844956,0.026234588,0.15958647,0.033270758,0.047896057,0.026272818
2020-08-03,0.043738343,0.020852912,0.08345664,0.08646444,0.05926316,0.054286,0.031382896,0.30856007,0.010779495,0.032187298,0.17809366,0.038714416,0.042137846,0.010082808
2020-08-10,0.030909207,0.10409972,0.12203554,0.07856004,0.07811309,0.038666997,0.045576625,0.08723648,0.020095319,0.017345455,0.2754245,0.027529249,0.039596967,0.03481077
2020-08-17,0.029517664,0.031474765,0.074943356,0.22330244,0.054040257,0.05659541,0.049678396,0.11561166,0.01842368,0.037879545,0.1859598,0.051463615,0.046930294,0.024179071
2020-08-24,0.029725902,0.016955342,0.25061765,0.106445074,0.06926986,0.042488683,0.03285034,0.09142164,0.023812456,0.040446915,0.14281625,0.056777894,0.075498044,0.020873955
2020-08-31,0.035180163,0.027169026,0.04690877,0.11116816,0.060071006,0.04841051,0.01573355,0.12745026,0.019882208,0.22672802,0.1549963,0.060867574,0.044528257,0.020906173
2020-09-07,0.031927094,0.023486875,0.08365669,0.091656074,0.10153691,0.04863374,0.029704401,0.08567904,0.017639706,0.058578264,0.16021822,0.05467616,0.20036177,0.012245047
2020-09-14,0.031973813,0.16644041,0.06066566,0.08357228,0.07098268,0.0790869,0.030916112,0.1337003,0.017257867,0.039178852,0.13238741,0.047486912,0.074454464,0.031896368
2020-09-21,0.027884021,0.023312373,0.09770973,0.08511734,0.07274276,0.044081375,0.03535775,0.08796137,0.01799009,0.13865349,0.2127913,0.047973048,0.085602805,0.02282255
2020-09-28,0.028401488,0.025910407,0.08180202,0.08171347,0.1391912,0.068427004,0.031079719,0.1642778,0.02227368,0.04673785,0.17260848,0.051232673,0.060620036,0.025724161
2020-10-05,0.03177484,0.024041075,0.08647067,0.19055918,0.083574876,0.07638303,0.026032522,0.10164749,0.026586803,0.042312216,0.1582941,0.047796164,0.083683774,0.020843264
2020-10-12,0.029753176,0.026324114,0.06699306,0.071171954,0.07936066,0.05028716,0.05277761,0.102190174,0.016305795,0.019722242,0.39735776,0.026765358,0.038534474,0.022456413
2020-10-19,0.021119429,0.028133605,0.08478846,0.067007184,0.089196436,0.13020757,0.045232147,0.102915145,0.03059705,0.03230429,0.22496977,0.038910035,0.08738217,0.01723667
2020-10-26,0.035998054,0.018315272,0.06879592,0.07477075,0.07655257,0.049164463,0.18375494,0.0998652,0.024451157,0.04097831,0.24094804,0.025967782,0.041363478,0.019074045
2020-11-02,0.034505013,0.013351566,0.06883844,0.0699545,0.28261042,0.02743275,0.04178962,0.11506622,0.023354542,0.046191115,0.16278933,0.034696836,0.05093937,0.028480284
2020-11-09,0.023297152,0.017440585,0.08510915,0.0703867,0.11247793,0.036083546,0.028587438,0.10904337,0.025808528,0.16297638,0.19638693,0.035123825,0.066625535,0.030652912
2020-11-16,0.02535253,0.022792473,0.060936242,0.069149636,0.12008524,0.04439906,0.04876555,0.20415972,0.019787747,0.043584738,0.20948605,0.039813895,0.058715113,0.032972045
2020-11-23,0.03458069,0.04228205,0.08104433,0.0835125,0.1447106,0.04493228,0.04773078,0.08812977,0.018462848,0.08046139,0.20851752,0.052897792,0.055084072,0.017653355
2020-11-30,0.0510152,0.0126020145,0.063035786,0.0889266,0.11669318,0.042187255,0.04566689,0.12558846,0.034340855,0.0453304,0.27080807,0.03801721,0.042301245,0.023486868
2020-12-07,0.032901812,0.027356006,0.06542858,0.077849716,0.09439672,0.06382838,0.04364005,0.14993995,0.030540895,0.015246687,0.31076846,0.028599745,0.035804622,0.023698365
2020-12-14,0.028669799,0.026132418,0.08416067,0.07261624,0.12177842,0.05134529,0.047233492,0.123280525,0.024118772,0.03140214,0.27785867,0.044078182,0.04540142,0.021923939
2020-12-21,0.042582717,0.01586181,0.08379167,0.080184735,0.08742184,0.046964653,0.023759024,0.09134457,0.027349891,0.039433297,0.35716262,0.03810518,0.050911702,0.015126344
2020-12-28,0.02262794,0.0122923935,0.08891845,0.061667502,0.10654065,0.039684754,0.027083304,0.07234293,0.011573369,0.072662555,0.40558654,0.02936938,0.039213207,0.010437037
2021-01-04,0.035208624,0.024817508,0.06456018,0.0704829,0.12697585,0.043936726,0.030559678,0.063456446,0.023319872,0.032257438,0.36618453,0.0312349,0.055957604,0.031047765
2021-01-11,0.02259906,0.03099551,0.062465545,0.059359472,0.06270847,0.050697807,0.038727064,0.09991918,0.025023688,0.026752057,0.44277412,0.031497303,0.025151435,0.02132926
